"","STB_a6_1","STB_a6_2","STB_b5_1","STB_b5_2","STB_d4_1","STB_d4_2","STB_wt_1","STB_wt_2"
"AC015849.6",0.489818030152708,0.475936620662474,1.00027979254769,0.339152818868654,0.330460129379547,0.920373492822665,0.744147097044967,0.784044202382839
"AC015849.1",1.37149048442758,0.999466903391196,0.428691339663294,1.58271315472039,1.26676382928826,0.701236946912506,0.347268645287651,0.784044202382839
"CCL5",7.00439783118373,5.56845846175095,6.09694349743352,5.93517433020145,6.27874245821139,5.69755019366411,14.5852831020814,18.6787001155912
"AC015849.5",541.150959712712,508.252717205456,323.471431961492,376.798781763075,416.324686329999,455.234260473763,443.114791387043,556.763624186214
"TBC1D3B",0.146945409045812,0.0475936620662474,0.238161855368497,0,0.0550766882299245,0.0438273091820316,0.0496098064696645,0.0461202471989906
"TBC1D3I",0,0,0,0,0,0,0,0
"AC233699.1",0.734727045229062,0.571123944794969,0.476323710736994,0.621780167925866,1.04645707636856,0.78889156527657,0.496098064696645,0.691803707984858
"ZNHIT3",31.0544631116817,31.554597949922,35.2955869656112,40.0765580963126,29.7964883323891,29.9340521713276,29.3193956235717,35.0975081184318
"MYO19",30.9075177026359,27.0332000536285,32.5805418144104,35.6675714510201,31.2284822263672,28.2686144224104,22.1259736854704,27.6260280721953
"PIGW",9.84534240606943,7.71017325473208,9.85990081225577,11.5311958415342,6.77443265228071,8.45867067213211,7.78873961573732,6.77967633825161
"GGNBP2",39.8222058514152,38.9316155701904,43.9646785010245,48.3858021585946,39.8755222784653,40.3649517566511,46.3851690491363,52.9460437844412
"AC243732.1",0.0979636060305416,0.0475936620662474,0.190529484294798,0.113050939622885,0,0,0.198439225878658,0.138360741596972
"DHRS11",0.783708848244333,1.71337183438491,1.00027979254769,2.03491691321192,1.10153376459849,1.27099196627892,1.38907458115061,1.15300617997476
"MRM1",0.636763439198521,0.666311268927464,0.952647421473988,0.791356577360193,0.826150323448867,0.745064256094538,1.14102554880228,1.15300617997476
"AATF",42.6631504263009,38.2653043012629,46.0605028282673,44.8246975604738,40.3161357843047,46.3692931145895,49.3121476308465,51.7007971100684
