"","hTSC_a6_1","hTSC_a6_2","hTSC_b5_1","hTSC_b5_2","hTSC_d4_1","hTSC_d4_2","hTSC_wt_1","hTSC_wt_2"
"PLPP1",0.517552827675752,1.50037444213216,1.52399425038533,0.940186328690764,0.586189198258147,1.86380800340977,0.909710835674929,0.866906224266077
"RNF138P1",0.047050257061432,0.276384765655924,0.369453151608564,0.256414453279299,0.167482628073756,0.136376195371446,0.136456625351239,0.188457874840452
"SLC38A9",128.729503320078,120.306340136228,94.6723700996946,106.625676821975,124.020886088617,106.282514926147,113.349970125096,101.955710288684
"IL31RA",4.04632210728315,3.82990318123208,3.27889672052601,2.86329472828551,2.97281664830918,3.18211122533375,3.00204575772727,3.20378387228768
"IL6ST",15.4795345732111,15.9908328700927,14.6857627764404,20.0430630979986,21.5633883644961,16.1378497856212,21.4691757219283,19.8257684332155
"AC016596.1",2.58776413837876,3.31661718787108,2.77089863706423,2.26499433730048,1.88417956582976,3.13665249354327,2.41073371453856,2.82686812260677
"AC016638.1",0.188201028245728,0.236901227705077,0.369453151608564,0.299150195492516,0.167482628073756,0.0909174635809643,0.136456625351239,0.452298899617084
"PSMC1P4",0.988055398290071,0.750187221066078,1.01599616692355,0.427357422132166,1.21424905353473,1.22738575834302,0.909710835674929,0.716139924393716
"AC022431.1",11.9978155506652,10.6605552467285,10.8526863285016,8.67535566928296,9.12780323001972,10.3645908482299,12.2356107398278,12.513602889406
"MAP3K1",27.336199352692,32.613402347399,26.9238984234741,34.6586869349186,37.2230140893923,29.0026708823276,31.8853647904063,30.3794094242808
"SETD9",11.9507652936037,9.55501618410479,11.1759578361591,13.1626086016707,11.4306893660339,9.77362733495366,8.55128185534433,12.3628365895336
"MIER3",23.525128530716,24.2823758397704,21.4744644372478,30.4705841980234,34.4595507261754,33.8212964521187,29.8840009519214,29.3617369001424
"GPBP1",101.016901910894,100.880439464412,90.8392936517558,97.3520207617073,109.826733359366,95.417878028222,102.069555762727,91.8543681972361
"AC025470.1",0.376402056491456,0.236901227705077,0,0.0427357422132166,0.0418706570184391,0.0454587317904822,0.136456625351239,0
"ACTBL2",0.047050257061432,0.0789670759016925,0.277089863706423,0.299150195492516,0.376835913165952,0.181834927161929,0,0
"PLK2",46.4856539766948,51.9998194812645,47.5670932696027,52.8213773755357,58.2002132556303,50.4591922874352,57.948580232493,56.0850635525184
"RAB3C",0.988055398290071,0.394835379508462,2.17053726570032,1.62395820410223,0.628059855276586,0.863715904019161,0.181942167134986,0.226149449808542
"AC016642.1",5.03437750557322,4.26422209869139,2.86326192496637,2.77782324385908,4.43828964395454,3.72761600681954,4.09369876053718,5.42758679540501
"PDE4D",11.6214134941737,10.3446869431217,12.0534090712294,13.9745877037218,16.4132975512281,12.4102337788016,11.2804143623691,10.5536409910653
"AC092343.1",2.25841233894873,1.6188250559847,0.923632879021411,0.940186328690764,1.17237839651629,1.50013814908591,1.9558782967011,1.73381244853215
"SETP21",0.329351799430024,0.236901227705077,0.277089863706423,0.299150195492516,0.376835913165952,0.272752390742893,0.318398792486225,0.452298899617084
"PART1",0.0941005141228639,0.276384765655924,0.138544931853212,0.213678711066083,0.167482628073756,0.181834927161929,0.0454855417837465,0.0376915749680903
"DEPDC1B",117.202190340027,106.724003081137,93.8872821525264,108.762463932636,124.565204629856,108.009946734186,114.896478545744,89.2536495244379
"CAB39P1",1.3174071977201,1.06605552467285,0.554179727412847,0.769243359837898,1.80043825179288,0.590963513276268,1.13713854459366,0.829214649297987
"ELOVL7",1.59970874008869,0.908121372869463,0.877451235070341,0.940186328690764,0.92115445440566,1.22738575834302,1.04616746102617,1.39458827381934
"AC104113.1",0.188201028245728,0.0394835379508462,0.230908219755353,0.299150195492516,0.628059855276586,0.0909174635809643,0.909710835674929,0.527682049553264
"ERCC8",15.3383838020268,17.9255262296842,15.0090342840979,16.7524109475809,16.7063921503572,14.6831703683257,20.5594648862534,19.2603948086941
"GNL3LP1",0.141150771184296,0.0394835379508462,0.184726575804282,0.341885937705733,0.334965256147513,0,0.227427708918732,0.0376915749680903
"NDUFAF2",30.8649686322994,30.4023242221516,36.1140455697372,32.3509568554049,30.2724850243315,28.3662486372609,29.5201166176514,32.8670533721748
"AC008498.2",0,0.197417689754231,0.0461816439510706,0.0427357422132166,0.0837413140368782,0.0454587317904822,0.318398792486225,0
"SMIM15",38.1577584768213,35.7326018455158,40.2242118813824,40.8126338136218,38.144168543798,32.0938646440804,36.5703755941321,36.7492855938881
"ZSWIM6",0.564603084737184,0.0789670759016925,0.0923632879021411,0.256414453279299,0.334965256147513,0.136376195371446,0.272913250702479,0.150766299872361
"AC122718.1",0.564603084737184,1.22398967647623,1.10835945482569,1.11112929754363,0.795542483350343,0.545504781485786,0.864225293891183,1.20613039897889
"RPL3P6",0.517552827675752,0.355351841557616,0.230908219755353,0.769243359837898,0.293094599129074,0.363669854323857,0.500340959621211,0.640756774457535
"KIF2A",57.4954141290699,59.3832410780727,47.8903647772602,54.1034496419322,63.7690106390827,55.2323591254358,67.9553994249172,56.3112130023269
"DIMT1",78.0093262078542,78.5327569842332,72.3204544273765,82.1808322760155,73.1061671541946,73.7340629641621,73.6410921478855,79.1899990079577
"IPO11",32.2764763441423,36.3643384527294,29.9718869242448,40.7271623291954,47.397583744873,35.4123520647856,43.5751490288291,38.9353969420373
"CKS1BP3",3.71697030785313,3.55351841557616,3.50980494028136,3.33338789263089,3.39152321849357,3.00027629817182,3.77529996805096,4.89990474585174
"ISCA1P1",0.564603084737184,0.473802455410155,0.138544931853212,0.0854714844264331,0.209353285092195,0.227293658952411,0.136456625351239,0.188457874840452
"RNF180",0.23525128530716,0.118450613852539,0,0.0427357422132166,0.0837413140368782,0.0454587317904822,0.227427708918732,0.113074724904271
"FAM159B",0.188201028245728,0.236901227705077,0.184726575804282,0.12820722663965,0.209353285092195,0.181834927161929,0.318398792486225,0.113074724904271
"SREK1IP1",19.1494546240028,21.9528471006705,22.4442789602203,22.1371144664462,21.8564829636252,21.5474388686885,22.5608287247382,25.6302709783014
"CWC27",48.6029155444592,42.2473856074055,49.5067223155476,44.7443220972377,45.2621802369327,41.1856110021768,47.9872465818525,52.4289807806136
"AC092354.2",0.047050257061432,0.236901227705077,0.138544931853212,0.299150195492516,0.0418706570184391,0.136376195371446,0.181942167134986,0.113074724904271
"ADAMTS6",6.72818675978477,5.8040800787744,4.80289097091134,5.51291074550494,5.77815066854459,4.68224937441966,7.27768668539943,6.63371719438389
"AC025176.1",0.23525128530716,0.63173660721354,0.277089863706423,0.341885937705733,0.293094599129074,0.272752390742893,0.227427708918732,0.263841024776632
"CENPK",72.5044461316667,64.9899034670929,77.7237067696517,81.5825318850304,69.5471613076273,61.5965815761033,71.5487572258332,69.3148063663181
"PPWD1",74.3394061570625,70.0832798627521,67.8408349641226,73.6336838333721,71.138246274328,62.0966276257986,65.2717524596762,61.2488093231468
"TRIM23",5.83423187561756,3.47455133967447,4.89525425881348,4.14536699468201,3.8521004456964,3.45486361607664,2.72913250702479,4.37222269629848
"TRAPPC13",45.0741462648518,42.6422209869139,42.9951105184467,42.5220635021505,45.4296628650064,39.6854728530909,42.2560683171005,38.0307991428031
"AC008560.1",9.73940321171642,8.48896065943194,9.5596002978716,8.20526250493758,11.0119827958495,9.72816860316318,10.5526456938292,8.21676334304369
"SGTB",5.45782981912611,8.17309235582517,6.23452193339452,5.89753242542389,6.99239972207933,7.45523201363907,6.64088910042698,4.78683002094747
"NLN",18.9612535957571,30.9945772914143,22.8137321118288,27.3936107586718,25.457359467211,30.7301026903659,31.4759949143525,21.0318988321944
"AC008958.1",0.517552827675752,0.31586830360677,0.507998083461776,0.555564648771815,0.418706570184391,0.863715904019161,0.409369876053718,0.489990474585174
"ERBIN",20.5139120787843,22.7425178596874,19.3039271715475,22.2225859508726,25.5411007812478,20.8200991600408,22.8337419754407,19.2980863836622
"SREK1",89.0190863602293,80.8622857233331,83.9582287030463,93.3775967358782,88.8076635361093,75.3251185768289,97.1116317082987,82.6953154799901
"LINC02065",0.141150771184296,0.236901227705077,0.323271507657494,0.555564648771815,0.334965256147513,0.136376195371446,0.591312043188704,0.452298899617084
"MAST4",18.5378012822042,19.0705488302587,16.0250304510215,16.4532607520884,16.9576160924678,18.4107863751453,12.3265818233953,11.4959303652675
"MAST4-AS1",0.988055398290071,0.750187221066078,0.877451235070341,0.854714844264331,0.586189198258147,0.727339708647715,0.682283126756197,0.791523074329897
"EEF1B2P2",2.16431182482587,1.81624274573893,1.66253918223854,2.35046582172691,1.84230890881132,2.18201912594314,2.41073371453856,2.56302709783014
"PIK3R1",15.1972330308425,15.6354810285351,15.1937608599022,15.9404318455298,20.3491393109614,17.91074032545,15.1921709557713,11.8351545399804
"SLC30A5",24.7484352143132,27.7174436414941,23.3679118392417,32.0518066599124,28.0533402023542,27.9571200511465,29.1107467415977,23.1803186053755
"AC010273.1",0.0941005141228639,0.118450613852539,0.138544931853212,0,0.0837413140368782,0.0909174635809643,0.0454855417837465,0.0376915749680903
"CCNB1",625.815469174107,597.070060892697,650.606999982682,644.070370895387,619.853206500972,585.281171802458,670.593342517774,662.957112113741
"AC022107.1",2.87006568074735,1.97417689754231,3.1403517886728,2.90603047049873,2.38662745005103,2.90935883459086,2.18330600561983,1.77150402350024
"CENPH",12.6094688924638,11.9635119991064,15.6555772994129,11.0685572332231,10.6351468826835,11.0919305568776,12.8724083248002,12.6266776143103
"MRPS36",66.1056111713119,59.067372774466,60.1285004242939,56.6248584325119,58.7026611398516,52.4593764862164,52.8541995527134,59.0626979749975
"CDK7",104.686821961686,92.7468306465378,102.892702722985,95.0442906821936,92.1991867546029,81.0529187824297,111.985403871584,102.106476588557
"CCDC125",56.6485095019641,48.2488833759341,45.165647784147,45.2998867460096,52.5476745581411,44.8223095454154,44.2574321555853,38.1438738677074
"CFL1P5",1.1762564265358,1.65830859393554,1.38544931853212,1.49575097746258,1.00489576844254,1.40922068550495,1.31908071172865,1.9599618983407
"CHCHD2P2",0.564603084737184,0.197417689754231,0.323271507657494,0.213678711066083,0.334965256147513,0.272752390742893,0.363884334269972,0.489990474585174
"AK6",116.120034427614,98.2745259596563,117.809373719181,109.574443034687,103.504264149581,88.7809031868117,94.3370136594901,95.6235256940451
"TAF9",188.812681587526,170.845268713312,187.543656085297,175.387486043041,176.945396559924,174.42515388008,165.976741968891,164.523724735714
"RAD17",33.217481485371,31.1525114432177,34.7747778951561,31.6671849799935,31.7798286769953,30.5937264949945,35.2967804241872,28.381755950972
"MARVELD2",52.2257853381895,51.0522145704442,55.1870645215293,58.6761740587463,58.0327306275566,51.8684129729401,41.983155066398,38.822322217133
"OCLN",27.5714506379991,33.7584249479735,31.7267893943855,41.7955558845258,41.1169851921072,39.59455538951,38.571739432617,34.638557395675
"GTF2H2C",24.5131839290061,21.6764623350146,23.8297282787524,20.2567418090647,19.1348902574267,19.2745022791644,19.9226673012809,18.5819464592685
"AC139495.3",0.376402056491456,0.394835379508462,0.507998083461776,0.512828906558599,1.04676642546098,0.318211122533375,0.955196377458675,0.716139924393716
"GUSBP3",0.329351799430024,0.31586830360677,0.507998083461776,0.256414453279299,0.628059855276586,0.0909174635809643,0.454855417837465,0.452298899617084
"AC131392.1",0.423452313552888,0.118450613852539,0.184726575804282,0.256414453279299,0.167482628073756,0.227293658952411,0.181942167134986,0.226149449808542
"SERF1B",0.517552827675752,0.355351841557616,0.230908219755353,0.341885937705733,0.251223942110635,0.227293658952411,0.227427708918732,0.226149449808542
"SMN2",25.2189377849275,20.9262751139485,25.0304510214802,25.2140879057978,24.3268517277131,22.2293198455458,19.6952395923622,18.7327127591409
"AC138866.2",0.329351799430024,0.355351841557616,0.184726575804282,0.427357422132166,0.125611971055317,0.227293658952411,0.63679758497245,0.414607324648993
"AC138866.1",0.517552827675752,0.394835379508462,0.323271507657494,0.170942968852866,0.293094599129074,0.409128586114339,0.454855417837465,0.376915749680903
"GTF2H2B",8.65724729930348,6.59375083779132,9.19014714626304,10.1283709045323,8.41600206070626,8.68261777198209,9.32453606566802,6.89755821916053
"AC146944.4",0,0.0789670759016925,0.0923632879021411,0.427357422132166,0.125611971055317,0.136376195371446,0.0454855417837465,0.226149449808542
"SERF1A",1.69380925421155,1.026571986722,1.89344740199389,2.43593730615334,1.29799036757161,1.09100956297157,1.91039275491735,1.31920512388316
"SMN1",72.3162451034209,59.4622081539744,66.1782957818841,62.7360695690019,65.6531902049125,54.8232305393215,58.8128055263842,49.3382716332302
"NAIP",0.799854370044343,0.513285993361001,0.600361371363917,0.598300390985032,0.753671826331903,0.772798440438197,0.818739752107436,0.753831499361806
"GTF2H2",37.687255906207,31.3499291329719,37.1762233806118,39.4450900627989,32.2822765612165,31.0028550811088,34.7054683809985,32.8670533721748
"AC044797.1",0.282301542368592,0.473802455410155,0.323271507657494,0.897450586477548,0.628059855276586,0.363669854323857,0.727768668539943,0.339224174712813
"BDP1",41.3571759569987,38.0226470466649,42.8565655865935,42.0947060800183,38.4791337999455,34.8213885515093,36.1155201762947,31.6232313982278
"MCCC2",62.2474900922745,73.1629958229181,26.5544452718656,32.6073713086842,54.3481128099339,54.2322670260452,61.178053699139,60.947276723402
"MAP1B",2.63481439544019,3.47455133967447,3.32507836447708,2.94876621271194,2.6797220491801,1.45467941729543,1.72845058778237,1.84688717343643
