"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"MCAM",551.496080816835,0.871816872737572,0.189730917569855,4.59501742733409,4.3271310255257e-06,0.000383957084819099,14.8737721632851,14.8881721123957
"NECTIN1",3818.49338576287,0.65248285504763,0.173341125471769,3.76415494748761,0.00016711324415064,0.00739064953734149,125.267182072438,108.890960082813
"AP001360.2",24.3488103012451,2.08657687610078,0.548893729114757,3.80142232534877,0.000143867841388305,0.00654974803392315,0.318398792486225,0.301532599744723
"ESAM",134.938341587416,0.810381639046941,0.229331152083108,3.53367447765346,0.000409825490004754,0.0153475239281081,4.04821321875343,3.5053164720324
"FEZ1",109.436777612313,1.43585657699038,0.320939781014027,4.47391274604136,7.68010919545341e-06,0.000625681878373459,1.77393612956611,2.41226079795778
"DPPA3",1270.95761449347,0.718725357383799,0.203780369201012,3.52696071855104,0.000420359123221754,0.0154544790119723,34.5690117556473,40.3299852158566
"CPNE8",1446.03199872103,0.524081696089616,0.13064318120719,4.01155032545069,6.03213146450444e-05,0.00328040836784995,51.9444887170384,43.4583859382081
"ADAMTS20",147.550260004589,1.55474451073549,0.256198979151418,6.0685039256796,1.29107260998821e-09,3.21177366602603e-07,2.18330600561983,3.05301757241532
"METTL7A",2875.49754750264,0.630802796957367,0.140155269635188,4.50074263065023,6.77164584305311e-06,0.00056488501939864,98.4761979618111,80.13228838216
"NR4A1",731.492580102527,0.623629879137303,0.182730880415367,3.41283245458963,0.000642914553614415,0.0213757581059724,21.6511178890633,23.8964585297693
"ITGA5",1626.67619882246,-0.807766718247173,0.134181353945963,-6.01996249473288,1.74457489139457e-09,4.19028841586513e-07,105.662913563643,104.330279511674
"PMEL",11318.7107704278,0.626097292434751,0.0913538416784041,6.85354092320301,7.20440293932546e-12,3.46084611543941e-09,362.610739100027,341.711818660707
"STAT6",154.273421470055,-1.37244592983358,0.326885940693715,-4.19854682927319,2.68633304932457e-05,0.00170105935046094,12.4175529069628,12.6266776143103
"DDIT3",542.510006825396,0.681381087678385,0.150973648083514,4.51324516780217,6.38431486039068e-06,0.000542316404390869,14.8282866215013,17.7904233849386
"PPM1H",823.801498137024,-0.662651479531775,0.180494922469315,-3.67130260766437,0.000241317416490301,0.0101850650487188,56.9478983132506,42.8930123136868
"RAP1B",2986.31487253572,0.516444825373613,0.0941035864257176,5.48804615200589,4.06403895069498e-08,6.98964526199158e-06,93.7457016163014,103.764905887153
"ACSS3",177.638366092696,0.929262101027563,0.245581254465053,3.78392928667037,0.00015437170024263,0.00691495870122214,4.27564092767217,4.97528789578792
"NFYB",1294.60416543814,-0.629736336404362,0.123757659014278,-5.08846354577302,3.60976151764043e-07,4.8822900681795e-05,79.5087270379888,74.8177763116593
"OAS3",16.2702128051601,2.24603646928078,0.673037738811744,3.33716274698976,0.000846383715436318,0.0263780123931618,0.227427708918732,0.150766299872361
"RASAL1",52.5498865441508,3.00636186765727,0.535744646341542,5.61155746153866,2.00513682659201e-08,3.70085859674468e-06,0.272913250702479,0.452298899617084
"FZD10",507.091054920061,0.780940000277205,0.150374457229359,5.19330220481576,2.06596418399734e-07,2.99801531742364e-05,15.1921709557713,13.6820417134168
"SPATA13",289.551933084981,0.831199571591218,0.165010300916315,5.03725868612748,4.72246359305213e-07,5.98078548316447e-05,8.3238541464256,7.68908129349042
"LINC01198",26.0717294671049,-1.39184602381907,0.451310044792209,-3.08401295269176,0.0020422870362929,0.0497396865430006,1.45553733707989,2.78917654763868
"LINC00458",30.7181869748673,-2.33640689927681,0.398439798336622,-5.86388937307636,4.52148783843863e-09,1.01594914640788e-06,3.77529996805096,2.97763442247913
"TBC1D4",296.980005464243,-0.560327193621171,0.146571257885735,-3.82289953503704,0.000131891527256969,0.00610425536949112,18.649072131336,15.6796951867256
"KCTD12",145.265366675899,-0.739894185976307,0.203080995122699,-3.64334528462041,0.000269117440273294,0.0110266913542566,9.05162281496554,9.12136114227786
"EDNRB",1167.56580253277,-0.595023137131003,0.109535787223597,-5.43222587076838,5.56554125695245e-08,9.23018514888149e-06,73.4591499807505,63.6233785461365
"LINC00379",330.715596943772,-0.718384577984869,0.182992866297575,-3.92575182038334,8.6459264578916e-05,0.00439585406879153,20.3775227191184,20.6172915075454
"AJUBA",455.464955657195,0.55701278563066,0.121354025022615,4.58998196002858,4.4328431979536e-06,0.000390847712599314,14.6463444543664,14.8127889624595
"DHRS2",41.8884864035157,1.45301204661068,0.448106081070608,3.24256266091984,0.00118459895812346,0.0332714679145524,0.682283126756197,0.904597799234167
"NYNRIN",15.6485296247002,-1.85571448707887,0.576754057060252,-3.21751440559873,0.0012930653339,0.0356706795377444,1.41005179529614,1.58304614865979
"DPPA3P2",118.996155273601,0.924823245608839,0.25909433237946,3.56944606667187,0.000357736854261177,0.0137669395489294,3.04753129951101,3.16609229731959
"SEC23A",533.245771044866,-0.531393573580761,0.114152168418348,-4.65513341484059,3.23770986812555e-06,0.000306333591864136,32.0673069575412,28.7209801256848
"ABHD12B",233.499140149519,-1.210725603551,0.167126365664726,-7.24437223735153,4.34446723414754e-13,2.63142491473519e-10,17.3754769613911,18.2050307095876
"HSPA2",1360.4467864048,-1.18744188874077,0.290059224228451,-4.09379116247494,4.24376574265551e-05,0.00251574044940144,96.3838630397587,109.117109532621
"ACOT4",59.4894425000197,-1.35932963274523,0.377695516904671,-3.59900918042489,0.000319431914096977,0.0125640963245969,3.45690117556473,6.10603514483063
"PGF",6391.47289722163,0.577992810592691,0.157941185660882,3.65954458410683,0.000252663882752719,0.0105070464197855,181.6237683425,226.526365558223
"ZC2HC1C",86.1183570447002,0.858279924523642,0.252166974914047,3.40361748328143,0.000664998087218113,0.0219009180922826,2.18330600561983,2.48764394789396
"FOS",563.764846194623,-1.2948770259265,0.132009136777469,-9.80899547967882,1.02988646305441e-22,3.58683707920274e-19,44.4393743227203,44.4383668873785
"SPTLC2",367.204014264312,-0.507370547018327,0.14088370856559,-3.60134292448806,0.000316577670956361,0.0124936077453061,21.1507769294421,20.2026841828964
"GALC",20.1403701647958,2.24599385762795,0.671581556153038,3.34433522935543,0.000824800075552328,0.0258790311993682,0.363884334269972,0.113074724904271
"PTPN21",403.979621312992,0.938556552469023,0.167289710722701,5.61036628262675,2.01898825175936e-08,3.70085859674468e-06,11.8262408637741,9.19674429221403
"ASB2",70.5640852700587,1.05149909712554,0.32103549374552,3.27533596007627,0.00105536385391612,0.0306936823567965,1.72845058778237,1.69612087356406
"OTUB2",258.28731704938,0.937631486552221,0.178388578544755,5.2561183804544,1.47127605514885e-07,2.22237093220209e-05,6.23151922437326,7.16139924393716
"TCL6",872.155928996906,0.523473002237611,0.168840256310302,3.10040397756533,0.0019325686353289,0.047990398678729,25.5173889406818,31.8870724230044
"TNFAIP2",576.458734448678,0.793966667869495,0.125277421181775,6.33766771681438,2.33269227294271e-10,6.77015334465936e-08,18.2397022552823,14.3981816378105
"NDUFB4P11",22.8688132264461,2.79634522380598,0.600838349967287,4.65407247050431,3.25442334332726e-06,0.000306333591864136,0.0909710835674929,0.263841024776632
"ZBTB42",12.0669221747383,-1.69095757116318,0.546314555092532,-3.09520871336985,0.00196674447649928,0.0486550068760353,1.13713854459366,1.05536409910653
"NDN",110.342889327179,2.51121435323105,0.276448653053632,9.08383645748443,1.04813718717411e-19,2.08594273636037e-16,0.909710835674929,1.20613039897889
"THBS1",119.693912234335,1.83681125373381,0.281842026965094,6.5171659227433,7.16481598484304e-11,2.77258476346801e-08,1.31908071172865,2.22380292311733
"IVD",209.213732060953,1.46722020581096,0.4697292204693,3.12354467611166,0.00178686735735499,0.0453421660388204,4.27564092767217,3.61839119693667
"CHAC1",1038.43837583789,0.95527598496355,0.185122770831691,5.16022950970232,2.46647284645538e-07,3.50616665550714e-05,26.7454985688429,26.6102519274718
"SORD2P",36.9756384416507,-1.36581966063152,0.347567159497344,-3.92965682548023,8.50671810630492e-05,0.00435687830657845,2.86558913237603,3.1284007223515
"SORD",530.132423333669,-1.0117773439576,0.122837196809621,-8.23673423226763,1.76975015852354e-16,2.05453245486595e-13,36.3884334269972,38.2192570176436
"SEMA6D",419.428424097018,2.26975094289103,0.169558962347478,13.3862044887938,7.28074094030553e-41,5.07140010196982e-37,5.73117826475205,3.84454064674521
"SLC27A2",759.141092621058,1.07490797092646,0.127851737912069,8.40745685964577,4.18996397712883e-17,5.30639892412561e-14,19.6497540505785,16.7350592858321
"MYO5C",92.2296022144843,2.04297699811263,0.279455358223265,7.31056656455462,2.66018327372672e-13,1.68450059937668e-10,1.04616746102617,1.35689669885125
"FAM214A",326.778431145249,0.857480567446828,0.17153715567526,4.99880369399466,5.76870945695719e-07,7.11184880043103e-05,9.5974493163705,8.21676334304369
"WDR72",339.034370425836,-1.11770118907101,0.148199487494788,-7.54186946233753,4.63281379389146e-14,3.22698644813509e-11,25.1535046064118,24.6879816040992
"CGNL1",123.098834019388,0.783561626253383,0.194171103597472,4.03541830754462,5.45051020700137e-05,0.00308662836153399,3.72981442626721,3.27916702222386
"CA12",693.351784827592,-0.676619565629573,0.192408133684558,-3.51658504592562,0.000437136592178156,0.0159001301974775,45.212628533044,39.2746211167501
"CYP1A1",1471.36002597827,1.51689004975275,0.111047589424391,13.659819700864,1.76420015941345e-42,2.45770724207888e-38,27.7006949463016,26.0825698779185
"CTSH",4405.61663079252,-0.507993605290096,0.0918875479382226,-5.52842704684674,3.23114738375356e-08,5.69786255735074e-06,243.438619626611,252.646627011109
"HOMER2",19.0885243955484,2.54427686635518,0.727408824498427,3.49772614885384,0.000469242690113528,0.0167599803514723,0.0454855417837465,0.301532599744723
"HDGFL3",154.415925214698,1.35116440152441,0.210429398514425,6.42098685384869,1.3539372169476e-10,4.55905638896388e-08,2.95656021594352,3.27916702222386
"ALDH1A3",109.875803506734,0.843922621965346,0.23965963020413,3.52133824643948,0.000429374535833889,0.0156997812564355,3.09301684129476,2.93994284751104
"ABAT",67.9557733106428,-1.34971423992463,0.256864190435794,-5.25458312283512,1.48360129706981e-07,2.22237093220209e-05,6.09506259902202,4.86221317088365
"EMP2",624.299529668546,-0.523573323907927,0.148351405027548,-3.52927782389862,0.000416695427481976,0.0154544790119723,37.6165430551583,33.2816606968237
"TMEM159",141.169557625163,-0.634525854030267,0.193511467806017,-3.27900904904685,0.00104172295465248,0.0305707806312884,7.77802764502064,9.04597799234167
"NUPR1",2113.49410543836,1.2134934284272,0.149490012532512,8.11755519896879,4.75668476964686e-16,4.73324110899646e-13,45.0761719076927,47.9059917844428
"PRSS8",2274.46123752166,-0.532604363927634,0.137422537298812,-3.87566970015653,0.00010633184257905,0.0051079617205819,126.540777242383,132.523577587806
"NETO2",83.292689445966,1.04714153714821,0.331514121071137,3.15866344928188,0.00158494404895343,0.0412707580298509,2.09233492205234,1.9599618983407
"ZNF423",27.2683699519484,2.61592014600862,0.656819206423204,3.98270958039421,6.81339952989203e-05,0.00360902923387551,0.227427708918732,0.263841024776632
"SLC12A3",12.2217668473224,-2.49384733453158,0.693182266361423,-3.59767907454127,0.000321069434466764,0.0125640963245969,1.63747950421487,1.1684388240108
"HSD11B2",202.645471305761,-0.659105659009741,0.196240187410552,-3.35866810823429,0.000783190683454282,0.0249671153574407,13.281778200854,11.2320893404909
"HAS3",264.567710994519,1.22119663254133,0.216527826642777,5.63990620270728,1.70142821337965e-08,3.3383938648721e-06,6.82283126756197,4.82452159591556
"AC092718.6",41.6461378978832,-1.56227008190493,0.333549356129167,-4.68377483930726,2.81639379757155e-06,0.000276304098549079,3.27495900842974,3.95761537164948
"ENO3",37.3701956112097,-1.29767761751014,0.370348001674681,-3.50394118948168,0.000458426586333283,0.0165159868794323,3.13850238307851,2.75148497267059
"SLC52A1",1551.21876791209,0.775063175852874,0.196550338025295,3.94333168612067,8.03573948539836e-05,0.0041615571290366,42.3925249424517,46.1344877609425
"ALOXE3",131.753147168566,0.761412524204921,0.194689114307451,3.91091472634934,9.19472331037001e-05,0.00460761476391239,4.13918430232093,3.46762489706431
"TRPV2",3675.77572927417,0.601328443703694,0.137196891802538,4.38295967061091,1.17077792609975e-05,0.000881627420999767,119.172119473416,112.810883879494
"ALDOC",136.456244233733,-0.960113976182748,0.299765835251119,-3.20287992585428,0.00136060698165411,0.0370207341043426,9.27905052388428,9.53596846692685
"TLCD1",165.243183891187,0.701005128693225,0.198505547033368,3.53141329887063,0.000413345343869871,0.0154378391030862,5.54923609761707,4.33453112133039
"ADAP2",461.909789896393,0.553039816506931,0.154140740830731,3.58788866283088,0.000333366578352066,0.0130087669552455,14.1005179529614,15.8304614865979
"TBC1D3B",28.3284284978334,2.4368344069001,0.598378522623777,4.07239617527555,4.6531944067907e-05,0.00271228666447704,0.272913250702479,0.301532599744723
"ARHGAP23",160.991990983773,-0.642875544264554,0.204877227130866,-3.1378575026004,0.00170187592235719,0.0435824144749228,9.96133365064047,9.3475105920864
"KRT14",67.8940304267266,-1.68971736317825,0.29826271228123,-5.66519814111066,1.46854738315749e-08,2.96497588329957e-06,4.27564092767217,7.99061389323515
"KRT17",293.265749718617,0.868011695520536,0.251817650121771,3.44698513031471,0.000566879781871411,0.0194992647932114,6.73186018399447,9.08366956730977
"CAVIN1",456.749435855356,-1.09782625316643,0.215358674855028,-5.09766441451895,3.43869716427624e-07,4.73008222958845e-05,31.748908165055,34.8270152705154
"PLEKHH3",91.6393371768905,0.81689869421777,0.246545384864069,3.31338059590188,0.000921754552577842,0.0280983865907263,2.50170479810605,2.60071867279823
"SCPEP1",711.278323366532,-0.554553143679418,0.129353382775513,-4.28711744355243,1.81006607417299e-05,0.00123699588940907,40.8915020635881,40.9707419903142
"SLC16A5",150.882643105457,-0.758468501758086,0.239145341958008,-3.17157965757605,0.0015161228125232,0.0401541956297733,9.37002160745177,9.68673476679921
"TRIM47",26.0465414717871,-1.33470127932159,0.382746242205746,-3.48717017214794,0.000488160637100439,0.0170868488327794,2.31976263097107,1.84688717343643
"ST6GALNAC2",187.956657120741,0.552062252838426,0.176563013851436,3.12671516415632,0.00176771100028363,0.0449379232572103,5.68569272296831,6.48295089451153
"TBC1D16",118.375336266574,1.2284477903284,0.234319715047987,5.24261387940329,1.58317618092039e-07,2.34630078472362e-05,2.36524817275482,2.78917654763868
"RAB40B",179.260011474524,1.14640066256442,0.240321685157951,4.77027556548193,1.83974064559025e-06,0.000194162325255438,3.91175659340219,4.2968395463623
"COLEC12",410.393056018043,-0.949659758123044,0.13484114025182,-7.04280426841189,1.88408811549968e-12,1.00950890527023e-09,27.8371515716528,28.4571391009082
"LINC00667",175.627802713551,0.853030253676548,0.211370522130519,4.03571058574483,5.44372873101489e-05,0.00308662836153399,4.68501080372589,4.89990474585174
"TTC39C",180.043147030641,1.22479910111921,0.241602778793076,5.06947439610456,3.98915794920178e-07,5.29266279907904e-05,4.23015538588842,3.65608277190476
"OSBPL1A",140.415018560229,0.952554291644274,0.203340531773324,4.6845273951882,2.8060663637722e-06,0.000276304098549079,3.36593009199724,3.84454064674521
"MOCOS",386.878701379946,0.607572928850321,0.144166227586158,4.21439153276877,2.50452480444057e-05,0.00161530254864174,13.4182348262052,10.9682483157143
"RIT2",16.9145973321232,2.99809181286539,0.919267044774686,3.26139377007715,0.00110865964668677,0.0319106147479203,0,0.226149449808542
"ACAA2",1100.0889445787,-0.538138612867993,0.105278922044843,-5.11155131925434,3.19523995840818e-07,4.49625129904892e-05,62.6335910362189,63.020313346647
"SEC11C",1957.14612053914,0.748890934205746,0.114296394564258,6.5521833567962,5.67018590088616e-11,2.42121506123533e-08,51.853517633471,61.4372671979872
"BCL2",60.0141518089213,1.05412111069554,0.337628470591964,3.12213335814765,0.00179545588126719,0.0453947293682999,1.22810962816115,1.65842929859597
"SERPINB7",117.014654700086,-2.08523259142311,0.362230390155262,-5.75664728331966,8.58009241835462e-09,1.81104950727422e-06,12.5085239905303,11.4959303652675
"TLE2",55.3809935942741,-1.18635851740919,0.361823023024447,-3.2788364529502,0.00104236026127787,0.0305707806312884,3.59335780091597,4.74913844597938
"NMRK2",237.209806022472,-0.682073758853979,0.217729498924762,-3.13266581800968,0.00173226548550635,0.0441981510596868,15.6470263736088,13.342817538704
"EBI3",161.928473159563,-1.03272570890406,0.30902962211967,-3.34183403461608,0.000832268078826254,0.0260546665306259,11.5078420712879,11.4959303652675
"RTBDN",19.0741336240769,-1.54776093379866,0.4768445025377,-3.24583994480736,0.00117104657865481,0.0329768058254195,1.68296504599862,1.62073772362788
"PALM3",269.883410002942,-0.621643680505641,0.201323285252393,-3.08778827906719,0.00201652081148494,0.0493710921349678,15.1466854139876,16.8858255857045
"ADGRE2",349.554457261997,0.650404248732272,0.159189645001663,4.08571957507335,4.39404232533154e-05,0.00257199174933587,11.4168709877204,10.0636505164801
"ELL",274.980610202277,0.714017461235002,0.16510628907462,4.32459275317066,1.52813898915978e-05,0.00105912956507388,8.05094089572312,8.21676334304369
"ZNF98",72.1856606110397,-0.939809633338256,0.263971963771559,-3.56026306699588,0.000370483458937525,0.0141791347979633,4.68501080372589,5.16374577062837
"ZNF723",39.7042417525761,-1.58730664437748,0.465569956979614,-3.40938374691343,0.000651098214027238,0.0214939554967144,2.86558913237603,4.07069009655375
"AC074135.1",29.8540585594825,-1.24431097292449,0.367766216232956,-3.38342924934762,0.000715866493788527,0.0231988536601476,2.50170479810605,2.11072819821306
"SBSN",29.394943872043,2.11833264616135,0.547174807804481,3.87140017403411,0.000108211972631574,0.00516267462578924,0.272913250702479,0.452298899617084
"SERTAD1",519.614924382697,0.567213517408451,0.145292628393562,3.90393871788188,9.46397541947527e-05,0.00469275665851781,15.1921709557713,18.1673391346195
