"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day18Rep1","Day18Rep2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"CCDC175",1864.67681631813,1.69147289710903,0.381136662878928,4.43796953127636,9.0811469924985e-06,8.66625180954896e-05,86.8040199106533,173.332837691417,45.7294192451276,44.0198079729937,52.9191124251975
"CCDC177",521.986033338211,-0.457813779572443,0.516726917039728,-0.885987868012002,0.375624064749321,0.548300698510449,9.29507639803196,25.4912608878919,26.7562425658436,30.804459639221,27.2387748974768
"CCDC178",1261.22132891128,0.360536382235608,0.234531530399406,1.53726188381415,0.12422919145572,0.258567111056338,51.4227613633059,67.6543479407026,57.8885061120823,55.9653541536992,50.0732702717298
"CCDC179",1353.44015842487,0.487024667606617,0.286525970108298,1.6997575033863,0.0891765480853847,0.202346650756702,52.6221260598261,81.076908681368,57.0445592087204,52.6732744975993,59.085103757711
"CCDC18",343.036687635636,-0.455165797847935,0.254403804002069,-1.78914698085345,0.0735911476715322,0.175071128107841,10.1945999204222,12.7649713095665,18.379288117659,19.0940620053797,18.2269414114957
"CCDC180",1177.8916517554,-0.26463683640777,0.249864149217044,-1.05912287631906,0.28954382283978,0.4608661768719,50.5732113699373,35.7419196667863,55.6067237437335,62.1262460815434,64.9800625041798
"CCDC181",707.185441739626,-1.20026021665713,0.197220551090335,-6.08587801839858,1.15854626043225e-09,2.42780641133654e-08,14.9420851774815,17.6001877147054,44.0415254384038,44.5841644854679,43.6362463531719
"CCDC182",1509.76641832298,0.75531532398568,0.616817570466052,1.2245360057026,0.22075009220943,0.382488098772714,31.2834291675699,131.595249682259,55.763010207319,55.0247599662421,60.575782980956
"CCDC183",528.409235706452,-0.9351377964836,0.33267537015608,-2.81096191775443,0.00493936317738813,0.0205282011598554,17.6906292736737,10.4053857038588,31.22603542439,29.9108951611367,33.3370080834791
"CCDC184",581.173715192095,0.0433994235114566,0.237254439139546,0.182923546842174,0.854858006907538,0.915875371424261,27.5354144909441,21.0428617951642,26.7874998585608,26.7599046331553,29.5425518788555
"CCDC185",2883.02888400291,0.805563025932926,0.262688832552313,3.06660552755894,0.00216504370477152,0.0102673870329392,194.097186720194,124.632538058859,110.306985998671,109.344074291891,101.501703473682
"CCDC186",1090.55295430679,-0.281171417031859,0.159732579856576,-1.76026341829778,0.0783631536376182,0.183720274111297,39.3791408690816,39.7648197158618,55.1378643529768,54.6014925818864,60.1692341018891
"CCDC187",510.774129370983,-0.694462370863615,0.303846009830703,-2.28557344310875,0.0222792252847348,0.0699064396675289,12.1935410812892,18.2577771458042,28.5691655434359,27.5594096924939,31.1687473951228
"CCDC188",727.504571263229,0.834380550756474,0.391876628392635,2.12919191986229,0.0332383851448738,0.0957317933661743,53.9214378143897,27.3479839874653,25.693494613462,30.6163408017296,23.85086757192
"CCDC189",1430.00926684167,-0.0607091235434112,0.168303530279472,-0.360712121977491,0.718314661945788,0.824905213169817,55.0708289818883,59.1830487988994,68.2034127087276,75.7178320902989,66.538499873936
"CCDC190",2527.96598640396,1.63665674759637,0.557938079322352,2.93340212516806,0.0033526934327881,0.0148860818479881,276.453562547918,75.0425586077548,69.0161023193724,68.5693162656247,60.8468155670005
