"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day_12_Rep_1","Day_12_Rep_2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"FGF12",799.168803881298,-0.0677603018017859,0.21583116651798,-0.313950496098259,0.753558637481623,0.857780997553025,34.2244171744026,26.1861888363725,32.5388417185085,34.9901037734052,30.4911659300114
"FGF13",877.417075938201,0.294469916365729,0.262897990980388,1.1200919233639,0.262674592036479,0.452416052547757,47.132333134576,29.6401953393296,34.445536574252,33.2029748172367,29.2037611462998
"FGF14",1483.96304431167,0.369708078535952,0.158986957180055,2.32539879430017,0.0200506458985259,0.0684848573881031,73.1325638543539,60.2978499586001,54.7002622549373,50.6980267039393,54.613066087976
"FGF16",921.978418994321,0.149869342037243,0.294206557182796,0.509401773612157,0.610470633400903,0.762278611953083,26.9591044768193,49.0522473908328,37.1336637479232,35.2722820296424,34.0145895485905
"FGF17",912.738219681227,0.499210636485286,0.18369196135878,2.71765096737274,0.00657471538416097,0.0284038853153746,46.431617696738,39.6541366734844,33.4453032073046,31.4158458610681,29.4070355858332
"FGF18",868.440991287005,0.500934502123837,0.352828993918871,1.41976569601029,0.155675904914129,0.316179930542389,25.2257557621674,56.4957652809264,30.7571760336333,30.3811922548653,28.5939378276996
"FGF2",598.449916435595,0.110556933783704,0.242382140552638,0.456126567459266,0.648298966592024,0.788245315212451,28.2130163129504,20.4830618198619,23.3179403669619,23.6089141051739,22.9022535207641
"FGF20",1718.28883025427,0.336903675690169,0.132160478468845,2.54920139207568,0.0107969929903286,0.0420817583075145,75.0134316085506,77.4340062523408,62.3582989706286,58.8341664254434,66.1319509948692
"FGF21",1652.61460258929,0.128551579083076,0.18606641221927,0.690890835964442,0.489634145505827,0.670304437176847,78.8120468768302,56.6028662577623,64.3900229972405,63.3019888158648,64.1669647460462
"FGF22",530.771834244827,-0.869476055384394,0.249271182493523,-3.48807289589917,0.000486515417900796,0.0032766601867176,15.9320562708426,11.6740064751109,26.4749269313897,26.1485184113082,25.4093049416762
"FGF23",1404.02290289828,0.386887756083469,0.194386807345232,1.99029842285724,0.0465580716533244,0.132165949482967,73.1694436142401,53.9521170810743,54.1376309860294,47.5940658853307,48.7858654880182
"FGF3",1392.05474059449,-0.289654725746253,0.344988470911417,-0.839606972896865,0.401128788326967,0.594493435007659,67.5637201115362,28.0336806867914,59.5763999188061,65.9356525407448,55.2906475530873
"FGF4",1228.5271016584,-0.0375421521918359,0.212901668128757,-0.17633564133998,0.860030262975404,0.92121292150206,38.5024693212029,55.3176545357317,49.5115516638976,49.0990165852622,50.9541261763746
"FGF5",2098.41888930337,0.561278192318096,0.119111551925141,4.71220619030173,2.45049244248675e-06,3.07275454290014e-05,97.768243458342,104.316351438147,73.7046962269384,69.8391184186919,68.7745187088035
"FGF6",1064.94989007252,0.224104877554971,0.183612214705279,1.22053360074485,0.222262659991966,0.404832672532791,50.6727900836521,39.948664359783,40.9470534594102,39.8341638388094,39.3674831229703
"FGF7",1476.21028595311,0.234919827885326,0.196459057929945,1.19576989913642,0.231786365448065,0.416333895563162,73.685760252647,52.4794786495809,55.4504372801479,57.8465425286135,52.7158379856641
"FGF8",1019.63915304524,0.0154317442133693,0.162148856457564,0.0951702315421998,0.924179614426417,0.958465448700564,39.0556657194961,40.5912702207983,38.0088679440022,42.3267384355708,42.0100508369046
"FGF9",988.166048046925,0.437891325938998,0.324918634575588,1.347695328435,0.177756395235571,0.346546222407004,29.5038079089678,61.3956349711679,34.7893667941402,34.5198066796766,34.9632035997464
"FGFBP1",2232.26597494017,0.43691778331356,0.184160238015742,2.37248706898507,0.0176687815931643,0.0616929686723244,85.3028846168031,120.167296009857,81.8003350406692,78.0222878495689,75.7536077994505
"FGFBP2",1305.40994839726,0.126679004790885,0.211199318103,0.599807830483167,0.548634314104927,0.719436964920337,63.5807060438256,43.3223451301132,50.5742996162792,50.9802049601764,50.0732702717298
"FGFBP3",469.153668314064,-0.825085269803281,0.287325410008899,-2.87160564663504,0.00408392248519608,0.0193721193240695,10.8426494065457,14.0034527212912,20.723585071442,20.646042414684,27.1032586044546
"FGFR1",711.022651014006,0.48169328250938,0.239783919924079,2.00886399163836,0.0445515595769022,0.127913975101951,37.4698360443891,29.1850161877771,24.8495477101001,27.7475285299853,21.2760580044968
"FGFR1OP",1703.68599424102,0.140087234417116,0.174877151848659,0.801060818615969,0.423096437624416,0.613561067442079,79.8815599135302,60.378175691227,66.7968345364578,68.2401083000147,62.066462204201
"FGFR1OP2",1421.62202440474,0.363915826137931,0.248010732291883,1.46733902510977,0.142283852626845,0.296986608644764,47.7961688125278,79.4957000564315,48.7301193459699,52.0148585663793,52.9191124251975
"FGFR2",2756.71674778384,0.0992009297619731,0.106415672889351,0.932202250556836,0.351232012616081,0.546444178204597,109.127209503295,113.84833837654,105.087018114914,112.77724307611,105.025127092261
"FGFR3",1987.27334529374,-0.327761310688262,0.166475773457875,-1.9688228736249,0.0489734346741235,0.137610305557256,76.5255017638851,57.4596740724493,85.3324091177023,86.8168435022931,88.3566230505219
"FGFR4",1124.11546179881,-0.292837717750167,0.242437134728219,-1.20789134914686,0.227089057560708,0.410984710865313,47.132333134576,29.8811725372104,46.7609099047922,47.3118876290936,52.0382565205528
"FGFRL1",1212.7292794749,0.145612531241184,0.211730571079904,0.687725586808301,0.491625604031858,0.6722383248076,59.081375337708,40.9661236397239,44.8854723417657,47.7821847228222,47.4307025577955
"FGG",1109.77446118656,0.810407334770613,0.152895082340674,5.30041465274141,1.15539967860022e-07,1.92862103247724e-06,60.3352871738391,55.8531594199111,33.6328469636072,35.7896088327438,33.269249936968
"FGGY",1522.37653805321,0.278070245404301,0.214464344920341,1.29658030339535,0.194775633180851,0.368597797356363,52.8855756768247,79.1208466375059,55.9505539636216,57.9406019473592,55.155131260065
