name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
AC004477.1	2933	62	59	57	53
AC004477.2	192	0	0	0	0
AC004477.3	590	145	37	28	49
AC004485.1	527	0	1	3	0
AC004486.1	233	0	0	2	1
AC004490.1	2738	0	1	2	10
AC004491.1	1882	16	15	15	10
AC004492.1	742	1	1	3	5
AC004494.1	2955	42	25	3	40
AC004494.2	830	0	0	0	0
AC004520.1	1413	165	79	26	193
AC004522.1	654	0	0	0	0
AC004522.2	680	0	0	0	0
AC004528.1	641	0	0	2	0
AC004528.2	440	0	0	0	0
AC004534.1	489	0	0	1	0
AC004540.1	1702	0	0	0	2
AC004540.2	882	1	1	3	2
AC004542.1	264	0	0	0	0
AC004542.2	546	0	0	0	0
AC004543.1	369	1	1	0	0
AC004551.1	575	0	2	0	1
AC004552.1	348	6	7	4	2
AC004554.1	1468	1	1	0	0
AC004554.2	1893	0	0	0	0
AC004584.1	549	0	0	0	0
AC004584.2	410	4	1	1	1
AC004584.3	2356	11	17	9	8
AC004585.1	1198	15	144	79	1
AC004585.2	1473	0	0	0	0
AC004590.1	510	0	0	0	0
AC004593.1	798	0	1	0	0
AC004594.1	3458	0	0	0	0
AC004596.1	528	0	1	3	0
AC004597.1	561	0	0	0	0
AC004623.1	2127	2	3	0	6
AC004637.1	482	0	0	0	2
AC004656.1	4951	52	0	0	23
AC004672.1	2088	3	3	2	8
AC004672.2	574	3	9	12	16
AC004674.1	739	0	0	0	0
AC004678.1	929	2	3	5	8
AC004678.2	1002	36	22	10	23
AC004686.1	538	12	21	20	22
AC004687.1	1625	1	2	0	0
AC004690.1	328	0	0	0	0
AC004690.2	2064	0	0	0	0
AC004691.1	547	2	2	0	1
AC004691.2	1531	0	0	0	0
AC004692.1	424	0	0	0	1
AC004692.2	1205	0	0	0	0
AC004696.1	607	2	0	0	0
AC004696.2	331	0	0	0	0
AC004702.1	195	0	0	1	0
AC004704.1	583	0	0	0	0
AC004706.1	879	0	8	5	6
AC004706.2	294	0	0	0	0
AC004706.3	4151	18	46	24	10
AC004706.4	3537	1	0	0	0
AC004707.1	715	0	0	0	0
AC004754.1	2242	0	0	0	1
AC004771.1	583	16	7	2	11
AC004771.2	439	7	1	1	3
AC004771.3	551	11	16	3	4
AC004771.4	474	0	0	0	0
AC004771.5	542	6	4	0	1
AC004775.1	753	0	2	1	8
AC004777.1	287	0	1	1	0
AC004784.1	2168	5	13	7	55
AC004790.1	536	0	0	0	0
AC004790.2	572	0	0	0	0
AC004792.1	137	0	0	0	0
AC004801.1	360	43	10	12	25
AC004801.2	779	9	7	4	8
AC004801.3	962	0	0	0	0
AC004801.4	3112	0	2	0	1
AC004801.5	1044	2	0	0	1
AC004801.6	978	15	7	5	12
AC004801.7	2973	0	0	0	0
AC004803.1	3669	80	66	117	81
AC004805.1	1616	2	0	2	1
AC004805.2	482	1	0	0	0
AC004805.3	310	0	0	1	0
AC004808.1	721	0	0	0	0
