"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_EVT","H9_EVT"
"MPP7",497.078224689714,2.91449572276892,0.370718058233099,7.86175816915926,3.78778780832354e-15,2.20943309723777e-13,35.5008245035781,46.1164941830136,4.393434694234,5.23335447715074
"MPPE1",245.749810971493,-2.07978812243622,0.451320595214289,-4.60822781962503,4.06115549060509e-06,5.65191515165539e-05,5.69159700807077,3.10629235429625,15.3302827628591,17.5377298890777
"MRAS",216.155510920063,2.59251077812238,0.413278961653388,6.27302867716914,3.54091657237268e-10,1.04867410010931e-08,17.7708856223217,16.8217678263428,2.29019468103687,2.79644895725612
"MRLN",168.072427314495,-10.9127473889207,1.55158693968425,-7.03328128757094,2.01732091748357e-12,8.40508615806198e-11,0,0,8.27274405190871,20.0944832214261
"MRPL36",1142.50136480717,1.36015671910112,0.352838070479074,3.85490351779313,0.000115775278818085,0.00113377362200783,68.0125369093924,84.9212540551452,28.9779735151605,23.4502219701334
"MRPL4",546.811083782711,1.80706856322525,0.346589462191693,5.21385893211545,1.84952138946334e-07,3.45106800570796e-06,35.9512386552959,43.2013582812894,9.1607787241475,10.9461002041168
"MS4A15",209.138931019333,2.17184796390959,0.623126176850591,3.48540639856692,0.00049139010685718,0.00395945325741497,7.24757316855054,24.3246585897968,2.99127468543592,3.27584020707145
"MSANTD3",444.651145691178,1.1565858409036,0.357874852575373,3.23181646483532,0.00123006034129009,0.00864457283328856,27.2295828083961,29.9637739406731,9.53468805982699,13.3430564531935
"MSI2",388.177130229403,1.93604416857573,0.410906721217699,4.71163908645342,2.45732295135974e-06,3.6428115707671e-05,35.9512386552959,21.6962573669307,6.73036804223082,6.51173114332496
"MSL1",496.388685099802,-1.42778464531308,0.371633538094819,-3.84191548651025,0.000122077873523122,0.00118423481647592,11.3831940161415,13.6676863589035,23.9769361504473,36.3138871735116
"MST1",270.303683690185,-3.86550928068831,0.454150245656095,-8.51152084065031,1.71666668669631e-17,1.28663688652054e-15,2.08828379432812,1.14693871543246,18.7889441178944,23.1306278035899
"MST1L",50.6096402654747,-3.31588911803499,0.757488771869638,-4.37747626258631,1.20061432205092e-05,0.000149281202452597,0.573254374913602,0.286734678858115,3.03801335239585,4.63411541488157
"MST1P2",42.0140263595047,-2.45749302542421,0.764972077362237,-3.21252644135468,0.00131573036604424,0.00915077169043521,0.491360892783088,0.716836697145289,2.29019468103687,3.63538364443295
"MSX2",1084.11859953209,1.50832186847655,0.322753557030932,4.67329278212104,2.96408748945974e-06,4.28977322099158e-05,67.1117086059567,82.1494854928501,21.3595708006909,25.2878884277589
"MT1E",2087.40521624324,-2.40961067785632,0.455634370996435,-5.28847433653149,1.23340789869757e-07,2.37408900558488e-06,44.713841243261,17.443026297202,148.068096929078,140.781230362437
"MT1F",729.295371981231,-3.0145852333887,0.690306608381239,-4.36702357588299,1.25951136902929e-05,0.000155738290570479,5.69159700807077,9.22329883660271,14.2552934227805,97.4762207957847
"MT1G",1437.59143238281,-6.11715625495229,1.40083707525892,-4.36678637579722,1.26087937388739e-05,0.000155763882873603,0.409467410652573,3.34523792001135,58.0026856972809,182.648066179642
"MT1H",1668.64906677168,-7.59737824040948,1.2774369364446,-5.94736070616114,2.72500482542339e-09,6.83339527810846e-08,0.245680446391544,1.33809516800454,55.5722750153642,227.870640745556
"MT1M",109.521854230441,-10.2942616047812,1.54058797197667,-6.68203425707198,2.35647919691517e-11,8.14807342933347e-10,0,0,7.4781867135898,10.7463538500271
"MT1X",287.709466797626,-4.0357307327494,0.512231590236558,-7.87872284660464,3.3074420064233e-15,1.9461685069375e-13,1.26934897302298,1.81598629943473,14.2085547558206,31.4400761337224
"MTMR7",184.677954890652,1.8001262766669,0.493495045565867,3.64770891388135,0.000264589152596987,0.00230053666315047,17.4842584348649,9.41445528917479,3.50540002199522,3.27584020707145
"MTMR9LP",81.275452928079,-3.22839144465754,0.638721781966749,-5.05445647198173,4.31618179257366e-07,7.41432713561693e-06,0.982721785566176,0.477891131430192,5.00103736471318,7.23081801804796
"MUC15",1882.90683174488,2.56553872638515,0.519402563623557,4.93940327996639,7.83619997294627e-07,1.27895935324875e-05,96.757149137203,201.431111897826,29.9127468543592,13.9822447862806
"MUC3A",111.417007567848,3.65983589088184,0.557841089232547,6.56071408421505,5.35507119954775e-11,1.7565680981206e-09,10.1547917841838,9.12772061031668,0.514125336559298,0.838934687176835
"MUC4",2675.9515968145,-5.22058815465385,0.527862125779856,-9.89006011170251,4.59751758473769e-23,6.63228988353128e-21,3.97183388332996,8.98435327088762,120.165112753996,320.672796855641
"MX1",489.680852089195,-5.67852102339773,0.542433919284734,-10.4685950150123,1.20416924547407e-25,2.24376869406668e-23,0.655147857044117,1.09914960228944,23.1823788121284,57.9264426860196
"MX2",54.7272416129658,-5.43175698906682,1.04647595782772,-5.19052248495235,2.09704795687048e-07,3.88055108818957e-06,0,0.238945565715096,2.94453601847598,6.03233989350963
"MXRA7",246.474839402202,-2.0681444599315,0.56003224230692,-3.69290248613592,0.000221709053932871,0.0019829657783756,5.44591656167922,3.44081614629739,8.6466533875882,25.0881420736692
"MYCL",168.238284304293,-2.9762179385294,0.619945771993988,-4.80077141095215,1.58055602648949e-06,2.46280367611881e-05,2.2111240175239,1.33809516800454,6.16950403871158,19.1756499926134
"MYCN",3196.29319829008,-2.90602351866208,0.502477486287885,-5.78339049602139,7.32098504484819e-09,1.72011095204349e-07,29.5635470491158,40.3818006058513,112.359755371687,366.894103192003
"MYCNOS",855.973161250653,-5.17646780914055,0.597653546340633,-8.66131865331595,4.66337939675648e-18,3.76890951728222e-16,1.26934897302298,3.01071412801021,32.3431575362759,109.301204957896
"MYCNUT",2211.02641497254,-4.70388383962126,0.548964043625432,-8.56865562370202,1.04700128215911e-17,7.96526015127249e-16,3.43952624948161,11.6605436068967,128.951982142464,227.39124949574
"MYEOV",192.593686578919,1.72738886245324,0.501281899926461,3.44594301670707,0.000569070343756395,0.0044989085043228,15.4778681226673,12.1384347383269,4.62712802903369,2.63665187398434
"MYH14",93.3937873429721,3.67538724481007,0.806909622863312,4.55489331229933,5.24121723239901e-06,7.0669517979764e-05,12.9801169176866,3.34523792001135,0.74781867135898,0.359543437361501
"MYL4",78.5753817368359,-7.36943179244771,1.19181076911,-6.18339083976473,6.27391228162401e-10,1.77575542553307e-08,0.0409467410652573,0.0477891131430192,4.58038936207375,8.50919468422219
"MYLPF",274.739513525942,1.88939088173874,0.482911326659981,3.91250065474042,9.13452904702441e-05,0.000923502951732325,24.3633109338281,16.1049311291975,5.98254937087184,3.51553583197912
"MYMX",24.1141329238591,-8.10952285465209,1.74366520083606,-4.65084859797839,3.30571955584245e-06,4.74326562151683e-05,0,0,2.00976267927726,1.95751427007928
"MYO18A",659.593227748979,-1.37492246602497,0.414555973032113,-3.31661477693499,0.000911151529175157,0.00669075474297422,19.9001161577151,14.4323121691918,26.8279948350034,53.0925809170483
"MYO1D",433.279184774422,4.03327237447643,0.422551070822845,9.54505301956122,1.36037999939793e-21,1.67439064880025e-19,47.5391663767637,28.9602025646697,1.96302401231732,2.157260624169
"MYO5A",211.835567759771,2.33130936275119,0.428636474481329,5.43889636450604,5.36116271705727e-08,1.08812948580999e-06,18.9992878542794,14.0499992640477,2.61736534975643,3.19594166543556
"MYO7A",2149.89212207539,4.13001279440488,0.308527058051751,13.3862255728382,7.27867500651694e-41,3.48752513883683e-38,188.969210016162,190.200670309217,8.1325280510289,11.1458465582065
"MYO7B",27.3106644543841,-8.29320551633079,1.7734643629354,-4.67627412743951,2.92134038754123e-06,4.24163448476766e-05,0,0,1.12172800703847,3.51553583197912
"N4BP3",278.990754693098,-2.88482689363668,0.764076259913597,-3.7755745662912,0.00015963925862123,0.00149875457918994,1.71976312474081,4.44438752230079,5.70211736911222,36.5535827984192
"NAGA",3254.3374540365,-1.20602883592212,0.294776729696101,-4.09132985892567,4.28906557939311e-05,0.000465217808138483,87.3393986921938,95.9605391911826,187.795963845024,185.883957115896
"NANP",341.387114263958,2.30122706499063,0.596961702139427,3.85489899392768,0.000115777419659416,0.00113377362200783,30.1777481650946,22.8431960823632,7.10427737791031,2.11731135335106
"NARS",9812.4088082179,1.41944218868312,0.365690990796374,3.88153447694176,0.000103799432639348,0.00103157959926304,732.004890023605,602.142825602042,262.811524315721,171.502219621436
"NAV1",3510.7812855514,-2.7200906915745,0.589342620694606,-4.61546576822931,3.92214688419553e-06,5.48691580796321e-05,30.6281623168125,55.1486365670442,95.9077446017891,425.299937127838
"NAXE",1272.28958375821,1.64834698733794,0.349347624491886,4.71835750918704,2.37756407200776e-06,3.54022193008392e-05,73.3356132478759,105.852885611788,24.4443228200466,26.3265694690255
"NBEA",16.0052290338156,5.9348029483985,1.79710052202537,3.30243237685439,0.000958501961507964,0.00696601425546633,1.31029571408823,1.62482984686265,0,0.0399492708179445
"NBPF10",196.112352446036,-4.38371728087925,0.6644673551858,-6.597340330818,4.18599114049153e-11,1.39699644628941e-09,0.286627187456801,1.38588428114756,16.4052721029376,14.2618896820062
"NBPF1",2496.32518421837,-2.90729382138967,0.339310878763162,-8.56823050291574,1.05087287326717e-17,7.96526015127249e-16,30.4234286114862,24.4202368160828,202.097995934764,157.999366084971
"NBPF12",769.225857657874,-4.1606839463238,0.548876367504906,-7.58036634959805,3.44580567555205e-14,1.81289917424338e-12,4.5041415171783,3.10629235429625,85.9524085393227,30.7609385298173
"NBPF14",344.699717121133,-3.86446173354374,0.539891544834069,-7.15784822066707,8.19532167467087e-13,3.62866124050774e-11,2.70248491030698,1.43367339429058,34.7268295512326,17.3779328058059
"NBPF17P",68.0439975041173,-3.72413914907683,0.683549899852556,-5.44823304030933,5.08726757698975e-08,1.03724592420812e-06,0.368520669587316,0.525680244573212,5.74885603607216,4.59416614406362
"NBPF19",196.690689730043,-3.94011387783402,0.495073901461335,-7.95863782397696,1.73943570096497e-15,1.06558307598841e-13,1.1465087498272,1.09914960228944,11.1705414034248,19.7349397840646
"NBPF20",231.853497508854,-3.47490719781796,0.471668866831033,-7.36726004657581,1.74170538387918e-13,8.49698888368113e-12,1.51502941941452,2.05493186514983,13.180304082702,22.3715916580489
"NBPF25P",37.4981522323507,-3.65256242066882,0.878163158444948,-4.15932094798508,3.19195125172063e-05,0.000359255184505738,0.368520669587316,0.143367339429058,2.85105868455611,2.87634749889201
