"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EVT_wt_1","EVT_wt_2"
"PHF13",240.635797699694,-0.511373915056496,0.185954838752729,-2.74998982810277,0.00595971147026294,0.0194788246813203,17.9054761598286,22.581963012616
"CAMTA1",588.2561070184,-0.628832734143619,0.106745361825314,-5.89096072551317,3.83956808336738e-09,5.36902258960501e-08,49.6142450868316,54.770617472588
"PER3",15.0841457086109,2.4003167087703,0.682319571660403,3.51787755835467,0.000435013030650271,0.00204248542430012,0.332609464269262,0.124762226589039
"ERRFI1",1386.00130826499,0.865157527407579,0.102441438172645,8.44538638699627,3.03041435648845e-17,1.14427042915942e-15,55.3794758008321,56.5172886448346
"GPR157",432.932455934161,0.808945793108433,0.146284295610787,5.52995651194685,3.20310184779347e-08,3.84828992052192e-07,19.6239583918865,16.4686139097531
"H6PD",136.034662469568,-1.8855425901787,0.196888671176539,-9.57669417397833,1.00200830244182e-21,5.53568521185073e-20,19.069609284771,20.1490995941298
"SRM",267.793957960766,0.624738837696524,0.158447360962881,3.94287941370562,8.05091408505628e-05,0.000458653224007469,12.9717691065012,11.8524115259587
"TNFRSF1B",1170.0561762726,1.23225747443906,0.188991698198263,6.52016721468027,7.02290554289512e-11,1.2522323639977e-09,39.5250913373306,36.3058079374103
"AADACL3",187.839708259178,-4.53487315215968,0.517710627688224,-8.75947471352795,1.96162339059281e-18,8.23759604523089e-17,46.8979344619659,39.7991502819034
"C1orf158",5.09078070054884,-4.76964830632032,1.03305264827782,-4.61704281410217,3.89246986844146e-06,3.08106246779747e-05,1.21956803565396,1.18524115259587
