"","EVT_a6_1","EVT_a6_2","EVT_b5_1","EVT_b5_2","EVT_d4_1","EVT_d4_2","EVT_wt_1","EVT_wt_2"
"FBXL20",36.6880697933276,35.1251746659111,31.535907601152,31.4394769564582,39.0711617784584,38.5226112180608,23.6707068738291,22.581963012616
"AC005288.1",5.31626489043441,3.46215879323497,5.16145250306624,6.15120201322007,6.99108811043123,6.04614974274497,4.65653249976967,5.36477574332867
"MED1",55.3826276498002,49.3514998890221,56.7759775337287,49.1336753401653,58.014755368014,53.1485353576534,46.6761948191198,49.842509522321
"CDK12",19.9798087091051,20.5211593926291,21.9503529526004,26.0476825991912,24.5251881293354,23.2632809149425,20.7326566061173,21.7710085397873
"AC009283.1",0.233681973205908,0.377690050171087,0.964227390682705,0.303763062381238,0.563797428260583,0.57582378502333,0.776088749961611,0.561430019650675
"STARD3",26.4060629722676,29.2709788882593,28.5865061708284,27.8702609734786,29.0919472982461,34.8949213724138,35.4229079446764,34.5591367651637
"TCAP",0.175261479904431,0.440638391866269,0,0.227822296785929,0.225518971304233,0.115164757004666,0.110869821423087,0.0623811132945194
"PGAP3",21.0313775885317,20.4582110509339,19.0009515222768,21.7949997258538,14.489593906297,18.4839434992489,36.5870410696188,39.3001013755472
"ERBB2",70.6303764014857,72.5794379745439,45.2052488455362,43.5899994517077,48.8248572873665,59.3674322359053,177.169974634094,174.355211658182
"MIEN1",32.4817942756212,30.7817390889436,40.5542696669491,39.9448427031328,39.5785794638929,39.5015116526004,43.738144551408,42.6063003801567
"GRB7",77.0566306646482,85.8615380722272,90.9209710155515,91.1289187143714,82.7654624686536,108.888277747912,113.752436780088,103.739791408786
"IKZF3",0.817886906220678,0.881276783732537,1.19110442378452,1.06317071833433,1.40949357065146,1.49714184106066,0.886958571384699,1.6219089456575
"GSDMB",2.86260417177237,2.32908864272171,2.6658051389463,2.73386756143114,1.97329099891204,1.95780086907932,2.38370116059638,1.55952783236298
"ORMDL3",57.3689244220504,57.3459392843101,39.41988450144,39.3373165783703,51.1364267432349,41.8048067926938,78.107789192565,62.1315888413413
"AC090844.2",0.058420493301477,0,0.113438516550906,0.0759407655953095,0.112759485652117,0.115164757004666,0.110869821423087,0
"GSDMA",0.292102466507385,0.314741708475906,0.17015777482636,0.227822296785929,0.0563797428260583,0.057582378502333,1.16413312494242,1.24762226589039
"PSMD3",31.2549639162902,37.0765732584617,35.9032904883619,40.0207834687281,36.4213138656337,39.0408526245818,34.5913842840032,36.6177135038829
"AC090844.3",0.058420493301477,0.125896683390362,0.17015777482636,0.379703827976548,0.0563797428260583,0.403076649516331,0.0554349107115437,0.187143339883558
"CSF3",0,0,0.0567192582754532,0.151881531190619,0,0,0.277174553557718,0
"MED24",25.2376531062381,26.3753551702809,25.6371047405049,22.7822296785929,26.103820928465,28.9063540081712,34.1479049983109,32.313416686561
"THRA",0,0,0,0.151881531190619,0,0,0.0554349107115437,0.187143339883558
"NR1D1",5.72520834354475,4.84702231052895,6.29583766857531,4.93614976369512,4.84865788304101,5.2399964437123,6.43044964253906,5.48953796991771
"MSL1",12.0930421134057,11.8342882386941,13.7827797609351,15.4919161814431,16.462884905209,14.5683417610903,17.739171427694,17.2795683825819
"CASC3",79.3350299034058,81.64399917865,78.6696112280536,83.1551383268639,80.9613106982197,85.6249968329692,82.487147138777,86.0859363464368
"RAPGEFL1",3.85575255789748,2.32908864272171,1.92845478136541,3.41733445178893,2.14243022739022,1.84263611207466,3.65870410696188,2.86953121154789
