name	BT5_hTSC_1	BT5_hTSC_2	mean_RPKM_BT5_hTSC	bagel_BF	bagel_FDR	Class	NSC_vs_TSC_LFC	NSC_vs_TSC_padj	AN_naive_TSC_rep1	AN_naive_rep1	H9_naive_TSC_rep1	H9_naive_rep1	AN_naive_TSC_rep2	H9_naive_TSC_rep2	AN_naive_TSC_rep1.1	H9_naive_TSC_rep1.1	AN_naive_TSC_rep2.1	H9_naive_TSC_rep2.1
ARF1	206.505087702732	207.828932304499	207.167010003616	6.738	0.018		0.162129016389502	0.608741443268368	977.447552827546	999.837858319137	1024.72603186485	1004.71669646148	652.33797047307	656.539684830755	977.447552827546	1024.72603186485	652.33797047307	656.539684830755
ARFRP1	1.12660911291756	1.10938763868172	1.11799837579964	7.969	0.007		0.784973574795344	0.180490381826868	18.0446808443451	28.6005882689419	25.2197552324651	26.6686500240462	6.86211241048349	9.48158956131342	18.0446808443451	25.2197552324651	6.86211241048349	9.48158956131342
ARHGAP1	24.477374075669	25.2818887587058	24.8796314171874	3.995	0.021		1.49444727540856	5.49558079837795e-22	139.846276543674	409.224958464634	128.970095543631	365.360505329433	121.38202271191	116.843983463383	139.846276543674	128.970095543631	121.38202271191	116.843983463383
ARHGAP5	5.65335438628559	4.31561505042117	4.98448471835338	6.137	0.016		-0.621076282412775	0.19262455934366	75.0084574188798	42.739600890618	31.2973812562281	38.6201561459336	84.027239222489	41.5196995121209	75.0084574188798	31.2973812562281	84.027239222489	41.5196995121209
ARHGEF12	0.77898809481725	0.513912726510264	0.646450410663757	6.697	0.018		-1.32480289005986	0.000191109863488098	21.8586702046271	12.8487605193179	25.4111765245521	13.2849386230897	33.6378059337426	38.3642023491997	21.8586702046271	25.4111765245521	33.6378059337426	38.3642023491997
ARHGEF38	0.0980305182390155	0.0520993065413895	0.0750649123902025	5.468	0.017		2.21842037363383	0.00118849652048868	0.779202127369446	1.82785714500756	0.334987261152288	3.60520639213958	0.487748186039268	0.543530611795037	0.779202127369446	0.334987261152288	0.487748186039268	0.543530611795037
ARHGEF4	0.168959275338591	0.136445421011186	0.152702348174889	2.633	0.04		-0.631437921052947	0.419146838957483	2.62468085008656	0.752647059708997	2.00992356691373	1.62975083480283	1.07640978987976	1.20784580398897	2.62468085008656	2.00992356691373	1.07640978987976	1.20784580398897
ARHGEF7	3.22126017826627	3.08055470107161	3.15090743966894	2.544	0.045		-0.44554661475122	0.0617102890450117	66.6832978475115	41.1805462669351	54.3157916296924	43.262476705675	46.1006130321942	45.5961791005837	66.6832978475115	54.3157916296924	46.1006130321942	45.5961791005837
ARID3A	7.64568493386128	7.11432426912473	7.38000460149301	2.788	0.034	TF,	-1.89577353428984	0.00017407035709288	268.742712665894	41.3955882839948	267.319834399526	65.6838972814472	101.973008688141	102.078068509618	268.742712665894	267.319834399526	101.973008688141	102.078068509618
ARID5B	11.4509337049227	17.9415110410356	14.6962223729792	3.021	0.033	TF,	-4.26250788060968	7.99476570853279e-48	143.045106329717	9.94569328901174	187.449300276216	11.2600966768195	177.809442165763	234.639145497407	143.045106329717	187.449300276216	177.809442165763	234.639145497407
